Ident;Nazwisko;Imiê;specjalnoœæ;Region
1662;Fkbacki;Ursyn;3;RegD
1663;Rlbacka;Konstantyna;4;RegD
1664;Ckbacki;Remus;1;RegD
1665;Wfbacka;Klarysa;1;RegA
1666;Hebacka;Wiola;1;RegB
1667;Knbacka;Druzjanna;1;RegB
1668;Rtbacki;Marcjalis;1;RegA
1669;Gfbacka;Pia;1;RegB
1670;Rdbacka;Renata;3;RegC
1671;Stbacka;Wiktoriana;3;RegA
1672;Hwbacki;German;4;RegA
1673;Onbacki;Honoriusz;3;RegC
1674;Crbacka;Placyda;3;RegA
1675;Wjbacki;Serwacy;4;RegC
1676;Adbacki;Walenty;2;RegA
1677;Ptbacka;Paulina;2;RegC
1678;Lrbacka;Floryna;3;RegA
1679;Lhbacki;Florentyn;3;RegC
1680;Psbacka;Natalia;1;RegB
1681;Nfbacka;Regina;3;RegD
1682;Robacka;Konkordia;2;RegA
1683;Dsbacka;Laurencja;3;RegB
1684;Nnbacka;Tertulia;2;RegD
1685;Uobacka;Rozalia;4;RegC
1686;Mwbacki;Seweryn;1;RegB
1687;Eubacki;B³a¿ej;1;RegB
1688;Fmbacka;Konstancja;4;RegD
1689;Wnbacka;Poppea;4;RegC
1690;Bpbacki;Treweriusz;1;RegB
1691;Uhbacki;Wirgiliusz;2;RegD
1692;Mdbacki;Mamertyn;4;RegB
1693;Sgbacka;Perpetua;3;RegA
1694;Febacki;Sylwester;2;RegA
1695;Pmbacka;Lucja;3;RegD
1696;Rmbacka;Florianna;4;RegB
1697;Cwbacki;Hortensjusz;1;RegC
1698;Csbacki;Owidiusz;2;RegA
1699;Cnbacka;Angelika;2;RegB
1700;Ambacki;Walery;4;RegB
1701;Tfbacka;Feliksa;2;RegD
1702;Prbacki;Fabian;2;RegB
1703;Hbbacka;Scholastyka;1;RegB
1704;Ofbacka;Augusta;4;RegA
1705;Eobacki;Laurencjusz;2;RegA
1706;Atbacki;Walentyn;3;RegB
1707;Tdbacki;Serwiusz;4;RegA
1708;Blbacki;Bonet;3;RegC
1709;Bkbacki;Renat;3;RegB
1710;Arbacka;Amanda;3;RegD
1711;Rebacka;Lucja;3;RegC
1712;Lrbacki;Lupus;1;RegA
1713;Nnbacki;Modest;4;RegA
1714;Pubacki;Terencjusz;4;RegB
1715;Wabacka;Zyta;3;RegC
1716;Sbbacka;Dezyderia;1;RegB
1717;Bdbacka;Flora;4;RegB
1718;Nwbacki;Sewer;1;RegC
1719;Nlbacki;Sylwan;3;RegB
1720;Bcbacki;Walerian;2;RegA
1721;Esbacka;Wiola;2;RegC
1722;Sjbacki;Horacy;4;RegB
1723;Tlbacki;Memiusz;2;RegB
1724;Glbacki;Bonit;4;RegC
1725;Sibacka;Humbelina;1;RegD
1726;Aobacki;Juniusz;1;RegC
1727;Ekbacka;Wera;3;RegA
1728;Rwbacka;Auksencja;2;RegD
1729;Gnbacka;Humbelina;2;RegD
1731;Dubacki;Gaudenty;1;RegD
1732;Rdbacki;Scypion;4;RegD
1733;Ribacka;Wera;4;RegD
1734;Libacki;Ursycyn;1;RegA
1735;Mgbacka;Bonita;4;RegA
1736;Sdbacki;Horacy;2;RegC
1737;Chbacki;Klaudian;3;RegC
1738;Ugbacka;Fawila;4;RegD
1739;Ckbacka;Konkordia;2;RegB
1740;Pgbacki;Romulus;2;RegA
1741;Eubacka;Lawinia;3;RegD
1742;Pubacka;Florentyna;2;RegD
1743;Ukbacki;Lupus;4;RegB
1744;Anbacka;Tarsylia;4;RegA
1745;Bsbacka;Celestyna;3;RegB
1746;Nwbacka;Klemencja;1;RegB
1747;Gebacki;Cyprian;4;RegA
1748;Eebacki;Fotyn;3;RegD
1749;Btbacki;Floryn;1;RegB
1750;Gfbacki;Ursyn;1;RegD
1751;Pdbacki;Ardalion;1;RegA
1752;Wmbacka;Flawia;3;RegD
1753;Snbacka;Leonia;2;RegA
1754;Kcbacka;Tacjana;2;RegD
1755;Hlbacka;Antonina;1;RegB
1756;Krbacka;Fawila;4;RegD
1757;Wgbacki;Renat;3;RegB
1758;Tmbacki;Aurelian;4;RegD
1759;Wubacki;Sabinian;3;RegD
1760;Skbacka;Waleriana;3;RegC
1761;Mmbacki;Antoni;3;RegD
1762;Kbbacki;Cyprian;3;RegD
1763;Trbacki;Fortunat;1;RegA
1764;Abbacki;Dorian;2;RegA
1765;Bmbacka;Fotyna;2;RegA
1766;Flbacka;Beata;2;RegD
1767;Gbbacka;Wirydiana;1;RegC
1768;Kubacka;Laura;4;RegC
1769;Tebacka;Kasjana;4;RegA
1770;Elbacki;Florencjusz;4;RegC
1771;Dibacka;Tuskana;1;RegD
1772;Ncbacki;Kwadrat;3;RegB
1773;Dwbacka;Paulina;1;RegC
1774;Hcbacka;Pia;1;RegC
1775;Lkbacka;Felicjana;4;RegD
1776;Lhbacka;Paschalina;1;RegD
1777;Fbbacka;Saturnina;4;RegA
1778;Ljbacki;Florentyn;3;RegB
1779;Tgbacki;Gracjan;2;RegD
1780;Gpbacki;Sylwiusz;4;RegA
1781;Frbacki;Klemens;4;RegB
1782;Ldbacka;Scholastyka;2;RegC
1783;Dtbacki;Patrycjusz;2;RegC
1784;Mebacka;Aurelia;1;RegB
1785;Ndbacki;Dacjan;1;RegD
1786;Aubacka;Tacjana;1;RegD
1787;Dkbacki;Balbin;3;RegB
1788;Tubacka;Florentyna;2;RegC
1789;Nfbacki;Maksymilian;3;RegC
1790;Nebacka;Florentyna;3;RegC
1791;Mubacki;Scypion;2;RegD
1792;Gcbacka;Dalia;3;RegC
1793;Kbbacka;Walentyna;2;RegD
1794;Gcbacki;Wigiliusz;1;RegC
1795;Lwbacki;Antoni;3;RegC
1796;Uebacki;Fotyn;4;RegA
1797;Hsbacki;Klementyn;2;RegB
1798;Cabacki;Maksencjusz;2;RegB
1799;Dabacka;Wera;2;RegA
1800;Wsbacki;Sabinian;3;RegB
1801;Ambacka;Zofia;4;RegB
1802;Ambacka;Violetta;3;RegB
1803;Ambacka;Klementyna;3;RegB
1804;Ambacki;Rufus;1;RegC
1805;Mubacki;Dezyderiusz;4;RegC
1806;Mubacki;Kalasanty;3;RegC
1807;Mubacki;Cecylian;4;RegB
1808;Mubacki;Flawiusz;2;RegB
1809;Mubacki;Fotyn;3;RegC
1810;Pobacki;Gaudenty;4;RegD
1811;Ochadzka;Imperia;4;RegD
1812;Ochadzka;Izaura;4;RegA
1813;Pobacki;Juliusz;4;RegD
1814;Ochadzka;Kaja;4;RegA
1815;Mubacki;Klaudiusz;2;RegB
1816;Mubacki;Lucjusz;3;RegD
1817;Ochadzka;Maksencja;1;RegC
1818;Ochadzka;Marianna;4;RegB
1819;Ochadzka;Matylda;4;RegA
1820;Ochadzka;Matylda;4;RegD
1821;Mubacki;Natalis;1;RegC
1822;Mubacki;Natalis;3;RegB
1823;Mubacki;Oktawian;4;RegD
1824;Pobacki;Oktawian;3;RegD
1825;Mubacki;Sabinian;1;RegB
1826;Mubacki;Tarcyzjusz;2;RegA
1827;Pobacka;Wiktoria;2;RegC
1828;Nwbacka;Fortunata;3;RegB
1829;Gebacki;Tacjan;3;RegD
1830;Eebacki;Faustyn;1;RegA
1831;Btbacki;Modest;4;RegC
1832;Gfbacki;Maksencjusz;1;RegD
1833;Pdbacki;Sabin;2;RegD
1834;Wmbacka;Domna;4;RegA
1835;Snbacka;Litoria;4;RegC
1836;Kcbacka;Paula;4;RegB
1837;Hlbacka;Floryna;2;RegC
1838;Krbacka;Dalia;2;RegC
1839;Wgbacki;Walery;1;RegA
1840;Tmbacki;Tarsyliusz;2;RegD
1841;Wubacki;Maksymilian;2;RegB
1842;Skbacka;Klarysa;2;RegC
1843;Mmbacki;Juniusz;2;RegB
1844;Kbbacki;Rufus;2;RegC
1845;Trbacki;Bonet;4;RegD
1846;Abbacki;Sabin;1;RegD
1847;Bmbacka;Doriana;2;RegB
1848;Flbacka;Wirginia;3;RegD
1849;Gbbacka;Klementyna;3;RegA
1850;Kubacka;Leona;3;RegB
1851;Tebacki;Walentyn;4;RegC
1852;Elbacki;Tacjan;1;RegD
1853;Dibacka;Patrycja;4;RegD
1855;Dwbacki;Juniusz;1;RegB
1856;Hcbacka;Wera;4;RegD
1857;Lkbacka;Auksencja;1;RegA
1858;Lhbacka;Humbelina;3;RegD
1859;Fbbacka;Innocencja;2;RegC
1860;Ljbacki;Florentyn;3;RegC
1861;Tgbacki;Gracjan;2;RegC
1862;Gpbacki;Sylwiusz;1;RegB
1863;Frbacki;Klemens;2;RegC
1864;Ldbacka;Scholastyka;3;RegD
1865;Dtbacki;Patrycjusz;2;RegC
1866;Mebacka;Aurelia;3;RegB
1867;Ndbacki;Dacjan;4;RegB
1868;Aubacka;Tacjana;2;RegA
1869;Dkbacki;Balbin;3;RegB
1870;Tubacka;Florentyna;3;RegB
1871;Nfbacki;Maksymilian;2;RegB
1872;Nebacka;Florentyna;4;RegD
1873;Mubacki;Scypion;4;RegC
1874;Gcbacka;Dalia;2;RegC
1875;Kbbacka;Walentyna;3;RegB
1876;Gcbacki;Wigiliusz;1;RegC
1877;Lwbacki;Antoni;1;RegA
1878;Mobacki;Gaudencjusz;1;RegB
1879;Rhbacki;Lucjusz;2;RegD
1880;Nubacki;Aurelian;2;RegC
1881;Ddbacki;Horacy;1;RegD
1882;Ddbacka;Wirginia;4;RegA
1883;Knbacki;Dacjan;1;RegA
1884;Fsbacki;Klaudian;1;RegA
1885;Sabacka;Lilia;1;RegD
1886;Gobacki;Sylwiusz;2;RegD
1887;Erbacka;Maura;1;RegD
1888;Cpbacka;Wirydiana;1;RegD
1889;Wobacka;Pia;3;RegB
1890;Fmbacki;Nestor;3;RegB
1891;Kobacki;Amat;1;RegB
1892;Hmbacki;Juniusz;1;RegD
1893;Swbacki;Salwator;3;RegB
1894;Nubacka;Benigna;4;RegA
1895;Nmbacka;Hadrianna;2;RegC
1896;Ocbacka;Kaja;1;RegA
1897;Nkbacka;Kordula;1;RegA
1898;Lubacki;Marceli;3;RegC
1899;Tibacka;Blandyna;3;RegD
1900;Ksbacki;Marcjalis;4;RegD
1901;Sjbacka;Modesta;2;RegA
1902;Sfbacka;Flora;1;RegC
1903;Pdbacka;Fabia;4;RegB
1904;Fubacki;January;3;RegC
1905;Kkbacki;Tygriusz;3;RegC
1906;Mcbacki;Wenanty;4;RegD
1907;Fjbacka;Fotyna;1;RegC
1908;Eabacki;Modest;4;RegA
1909;Ctbacki;Wigiliusz;4;RegC
1910;Libacka;Wirydiana;2;RegC
1911;Utbacka;Gracja;1;RegB
1913;Libacka;Wirydiana;1;RegC
